Facility Name (alternative name),Facility Key Number
Helderberg Nature Reserve Substation,12485
Oliver Tambo Indoor Centre,12508
Hendon Park 2,12237
Sacks Circle Substation,12257
Lilian Avenue Law Enforcement Office,12296
Alphen Pump Station ,12319
Harrington Street Pump Station,12350
Helderberg College Road Pump Station,12352
Marina Da Gama Pump Station No. 3,12373
Khayelitsha MPC: Community Hall,12445
Buitengracht Pedestrial Bridge,12473
Helderberg College 1 Pump Station,12477
Cape Point Nature Reserve,12482
Parow Nature Reserve,12483
Bill Bezuidenhout Pump Station,12324
Keyser Pump Station,12358
Mamre Pump Station,12370
Nooiensfontein Pump Station ,12385
Phoenix Park Pump Station,12391
Eersterivier Multi-Purpose Centre,12444
Adderley Street MyCiti Bus Station,12528
Bo-kaap Flats Block ,12562
Eerste River Library,12438
Mosselbank Pump Station,12486
Bellville Library,12494
Sherwood Park Recreation Centre,12511
Constantia Sport Centre,12527
Dennegeur Pump Station,12340
Price Drive Pump Station,12394
Welgemoed Water Pump Station,12431
Phumlani Clinic,12432
Bridgetown Community Centre,12436
Scottsdene Housing Office,12442
Sipres Road Pump Station,12449
Strand Golf Course,12462
Glen-Green Point Sport & Recreational Club,12535
CBD Parade Cleansing Depot,12542
Upper Wash House & Hoerikwaggo Trail Office,12561
Bellville Netball Club,12491
Heideveld Community Centre,12509
Zolani Multi-Purpose Centre,12513
Strandfontein Hall,12521
Bellville WWTW,11855
Simonstown WWTW,11858
Sarepta Traffic Operations,11881
Mamre Municipal Building,11926
Springbokpark Municipal Office,11950
Mitchells Plain Environmental Health Office,11972
Spencer Road Clinic,11985
Kloof Street Library,12039
Simonstown Pump Station no. 12,12050
Warwick Square Pump Station,12070
Sea Point Beach Road Substation,12074
Ocean View Clinic,12090
Hout Bay Electricity Depot,12288
Dido Valley Fresh Water Pump Station,12339
Metro Pump Station,12376
Red Hill Road Squatters Pump Station,12403
Rugby Pump Station (Brooklyn Chest),12408
Camps Bay Bowling Club,12451
Schotsche Kloof Flats,12459
Philippi Main Station,12470
Parow Health & City Parks Facilities,12490
Jack Miller Park,12496
Verbena Pump Station,12500
Chukker Road Sportsground,12514
Bellville Stadium,12552
Ocean View Library,12094
Retreat Library,12098
Cross Roads 2 Clinic,12112
Saxonsea Educare Centre,12184
Muizenberg Swimming Pool,12192
Parow Valley Swimming Pool,12228
Smart Living Training Centre (Swiss Club),12231
Simons Town Civic Centre,12240
De Novo Pump Station (Hout Street Pump Station),12361
Milnerton Drive Pump Station,12378
Rietvlei Pump Station,12406
San Michelle Pump Station,12410
The Range Sewage Pump Station,12421
Uxbridge Pump Station,12429
Radnor Composting Site,12463
Loch Road Main Station,12472
Bay Road Pump Station,12474
Induland Drop-Off,12534
Moullie Point Park + Adventure Park,12553
Sea Point Fire Station,12016
Vuyani Clinic,12017
Kensington Civic Centre,12139
Brackenfell Traffic Department,12153
Newfields Estate Public Clinic,12159
Muizenberg Civic Centre and Area Office,12161
Steenberg Housing Maintenance/ Workshop,12181
Lavender Hill Clinic,12188
Ndabeni Workshop Mechanical Engineering Workshop,12245
Arderne Gardens,12260
Collen Way Substation,12271
Crossroads Library,12272
Granary Building,12280
Constantia Meadow Pump Station,12337
Retreat Ext 13 Pump Station,12404
Southfield Pump Station (Victoria Road Pump Station),12415
Thibault Road Pump Station (Marina Da Gama No. 7),12423
Old Oak Reservoir,12492
Proteaville Recreation Centre,12497
Hangberg Sports and Recreation Hall,12516
Milnerton Community Centre ,12300
Canal Road Pump Station,12326
Elfindale Pump Station,12344
Joe Slovo Street Pump Station,12355
Range Road Pump Station,12401
Uitsig Pump Station,12428
Scottsdene Clinic,12441
Alphen Clinic,12512
Woodland Sport Ground,12547
Swartklip Sports Complex,12097
Lavender Hill Community Centre,12117
Atlantis Fire Station,12154
Thusong Centre,12166
Sawkins Road Substation,12249
Bridgetown Pump Station,12254
Harbouredge Pump Station,12348
Houtbay Heights Pump Station,12354
Raapenberg Sewarage Pump Station - F1,12397
Race Course Pump Station,12400
Princess Avenue Pump Station,12456
Helderberg Nature Reserve,12517
Browns Farm Community Hall,12224
"Brookland Water Treatment Plant, Red Hill",12270
Northwood Hall,12301
Aurora Water Pump Station (Robinson Street Pump Station),12322
