Name of infrastructure,OID
Newlands Pool,#N/A
Ruyterwacht Pool,#N/A
Westridge Pool,#N/A
Wynberg Pool,#N/A
Mouille Point,#N/A
Queen’s Beach,#N/A
Maiden Cove Picnic and Parking Area,#N/A
Camps Bay Pump Station,#N/A
Camps Bay Tidal Pool,#N/A
Camps Bay Main Beach,#N/A
Kalk Bay Night Shelter,#N/A
St James,#N/A
Surfers Corner,#N/A
Muizenberg Main Beach,#N/A
Metro Plaza,#N/A
Springbok,#N/A
Putt Putt,#N/A
Dune Lapa,#N/A
Observatory,#N/A
Shelly street ,#N/A
Strand public toilet,#N/A
Sunset beach,#N/A
Table View to Big Bay,#N/A
Bikini Beach,#N/A
Helipad,#N/A
Gazebo (Spur),#N/A
Mosterts Bay,#N/A
3 Anchor Bay,#N/A
Milton Beach,#N/A
Milnerton Lagoon Building 1,#N/A
Blue Peter Building 8,#N/A
Big Bay Building 9,#N/A
Melkbos NSRI Building 10,#N/A
Rocklands Upper,#N/A
Sunset Beach,#N/A
Clifton 1st Beach,#N/A
Clifton 4th Beach Upper & Lower,#N/A
Sunrise Beach,#N/A
"Strandfontein Pavilion 1,2,&3",#N/A
Strand Jetty,#N/A
Deep Blue,#N/A
Princessvlei Eco Adventure Centre,#N/A
Sports Grounds (151),#N/A
Community Centres (194),#N/A
Multi Purpose Centres (11),#N/A
Swimming Pools (36),#N/A
Stadiums (8),#N/A
Bathhouses (12),#N/A
Adventure Centre (1),#N/A
Resorts (13),#N/A
Tidal Pools (19),#N/A
Beaches (82),#N/A
Public Toilets (With Electricity) (37),#N/A
Public Toilets (Without Electricity) (33),#N/A
Strand Library,34408118
Goodwood Library,11031
"Mitchells Plain, Library",#N/A
Ndabeni Library ,#N/A
Milnerton Library ,11034
Mfuleni Library,12128
Somerset West Library,10879
Mowbray Library (Library 1),#N/A
Mowbray Library (Library 2),#N/A
Muizenberg Library,10943
COCT Central Library,#N/A
Harare Library,#N/A
Masakhane Library,11014
Moses Mabhida Library,11007
Nazeema Isaacs Library,10982
Sea Point Library,#N/A
Mamre Library,11915
Bellville Library,12494
